Program,2022,2023
"Rus dili ve edebiyatı
Russian language and literature",69.8,,68.9
"Peyzaj mimarlığı
Landscape architecture",68.5,,68.9
"Gıda teknolojisi
Food technology",.,,68.8
"Astronomi ve uzay bilimleri
Astronomy and space sciences",70.5,,68.7
"İletişim bilimleri
Communication sciences",67.1,,68.6
"Biyoloji öğretmenliği
Biology teaching",70.4,,68.6
"Müzik
Music",68.0,,68.5
"Biyosistem mühendisliği
Biosystems engineering",69.1,,68.4
"Grafik tasarımı
Graphic design",70.0,,68.4
"Beslenme ve diyetetik
Nutrition and dietetics",64.9,,68.3
"Grafik sanatlar
Graphic arts",69.7,,68.1
"Sosyal bilgiler öğretmenliği
Social studies teaching",67.1,,67.7
"Alman dili ve edebiyatı
German language and literature",71.2,,67.7
"Siyaset bilimi ve kamu yönetimi
Political science and public administration",65.0,,67.5
"Fransız dili ve edebiyatı
French language and literature",68.3,,67.5
"Genetik ve biyomühendislik
Genetics and bioengineering",63.3,,67.3
"Fotoğraf
Photography",66.5,,67.2
"Gastronomi ve mutfak sanatları
Gastronomy and culinary arts",67.1,,67.1
"Biyoloji
Biology",67.8,,67.0
"Biyokimya
Biochemistry",65.5,,66.7
"Opera
Opera",.,,66.4
"Tarımsal biyoteknoloji
Agricultural biotechnology",65.1,,65.8
"Rekreasyon yönetimi
Recreation management",64.3,,65.7
"Karşılaştırmalı edebiyat
Comparative literature",63.2,,65.7
"Tekstil ve moda tasarımı
Fashion and textile design",66.7,,65.6
"Sanat ve kültür yönetimi
Art and culture management",65.2,,64.9
"Fransızca öğretmenliği
French language teaching",68.0,,64.6
"Tarım ekonomisi
Agricultural economics",62.2,,63.7
"Coğrafya
Geography",64.2,,63.3
"Arkeoloji
Archaeology",62.7,,63.0
"İlahiyat
Theology",63.8,,62.8
"Seramik
Ceramics",63.7,,62.5
"Dilbilimi
Linguistics",.,,61.9
"Antropoloji
Anthropology",61.2,,61.5
"Moleküler biyoloji ve genetik
Molecular biology and genetics",58.4,,60.9
"Protohistorya ve ön asya arkeolojisi
Protohistory and asia minor archaeology",60.7,,60.7
"Turizm rehberliği
Tour guide training",61.0,,60.5
"Çizgi film ve animasyon
Cartoon and animation",63.2,,60.1
"Tarih
History",59.8,,60.0
"Türk halkbilimi
Turkish folklore",58.9,,59.9
"Kore dili ve edebiyatı
Korean language and literature",.,,59.9
"Sanat tarihi
Art history",59.4,,59.7
"Sosyoloji
Sociology",60.0,,59.5
"Geleneksel Türk sanatları
Traditional Turkish arts",59.6,,58.6
"Biyoteknoloji
Biotechnology",.,,58.2
"Felsefe
Philosophy",58.7,,57.9
"Seramik ve cam
Ceramic and glass",60.6,,57.6
"Resim
Painting",56.7,,56.8
"Türk dili ve edebiyatı
Turkish language and literature",56.8,,56.1
"Çağdaş Türk lehçeleri ve edebiyatları
Modern Turkish dialects and literatures",55.9,,55.0
"Fars dili ve edebiyatı
Persian language and literature",57.7,,54.7
"Heykel
Sculpture",48.8,,51.3
"İslami ilimler
Islamic sciences",48.2,,50.1
"Deniz ulaştırma işletme mühendisliği
Maritime transportation, management engineering",40.6,,40.1
"Gemi makineleri işletme mühendisliği
Marine engineering",39.7,,39.9
"Bilgisayar öğretmenliği
Computer teaching",90.3,,.
"Talaşlı üretim öğretmenliği
Machining teaching",89.0,,.
"Moda tasarımı öğretmenliği
Fashion design teaching",62.8,,.
"TÜİK, Yükseköğretim İstihdam Göstergeleri, 2023",,,
"TurkStat, Higher Education Employment Indicators, 2023",,,
(r) Revize edilmiştir.,,,
(r) Data revised.,,,
. Medyan (ortanca) değerin altında mezunu olan bölümlere tablolarda yer verilmemiştir.,,,
. Departments with number of graduates below the median value were not included in the tables.,,,
