Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Fatih Sultan Mehmet Vakıf Üniversitesi,İngilizce Mütercim ve Tercümanlık ( %50 Burslu) - 35.000 TL,35.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Tarih (%50 Burslu) - 35.000 TL,35.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Psikoloji (%50 Burslu) - 43. 500 TL,500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Psikoloji - 87.000 TL,87.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,"Sanat, Tasarım ve Mimarlık ( %50 Burslu) - 38.000 TL",38.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Arapça Öğretmenliği (%50 Burslu) - 32.500 TL,32.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Okul Öncesi Öğretmenliği (%50 Burslu) - 43.000 TL,43.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Özel Eğitim Öğretmenliği ( %50 Burslu) - 32.500 TL,32.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Rehberlik ve Psikolojik Danışmanlık (%50 Burslu) - 39.500 TL,39.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Türkçe Öğretmenliği (%50 Burslu) - 39.500 TL,39.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Grafik Tasarım (%50 Burslu) - 32.000 TL,32.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Geleneksel Türk Sanatları (%50 Burslu) - 22.000 TL,22.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Hukuk (%25 Burslu) - 64.500 TL,64.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,İşletme (%50 İndirimli) - 32.500 TL,32.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Bilgisayar Mühendisliği (%50 Burslu) - 38.000 tl,,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Biyomedikal Mühendisliği (%50 Burslu) - 28.500 TL,28.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Elektrik - Elektronik Mühendisliği (%50 İndirimli) - 38.000 TL,38.000 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,İnşaat Mühendisliği (%50 İndirimli) - 35.500 TL,35.500 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Yazılım Mühendisliği (%50 İndirimli) - 38.000 TL,38.000 TL,2022
Işık Üniversitesi,"Sanat, Tasarım ve Mimarlık Fakültesi - 103. 600 TL",600 TL,2022
Işık Üniversitesi,Mühendislik ve Doğa Bilimleri Fakültesi - 103.600 TL,103.600 TL,2022
Işık Üniversitesi,Psikoloji (Türkçe ve İngilizce) - 103.600 TL,103.600 TL,2022
Işık Üniversitesi,Yönetim Bilişimleri Sistemleri (Türkçe ve İngilizce) - 103.600 TL,103.600 TL,2022
Işık Üniversitesi,İktisat ( İngilizce) - 99.600 TL,99.600 TL,2022
Işık Üniversitesi,İşletme ( İngilizce) - 99.600 TL,99.600 TL,2022
Işık Üniversitesi,Uluslararası İlişkiler ( İngilizce) - 99.600 TL,99.600 TL,2022
Işık Üniversitesi,Uluslararası Ticaret ve Finansman ( İngilizce) - 99.600 TL,99.600 TL,2022
Haliç Üniversitesi,Tıp Fakültesi ( %25 Burslu) - 115.020 TL,115.020 TL,2022
Haliç Üniversitesi,Tıp Fakültesi İngilizce ( %25 Burslu) - 118.260 TL,118.260 TL,2022
Haliç Üniversitesi,Psikoloji - 86.400 TL,86.400 TL,2022
