akademik_yil,bolum_fakulte,burs_orani,ucret,universite
2021,Fen-Edebiyat Fakültesi (Psikoloji),%25 İndirimli,35.490,Beykent Üni.
2021,Fen-Edebiyat Fakültesi (Diğer Bölümler),Ücretli,40.063,Beykent Üni.
2021,Fen-Edebiyat Fakültesi (Diğer Bölümler),%25 İndirimli,30.047,Beykent Üni.
2021,Fen-Edebiyat Fakültesi (Diğer Bölümler),%50 İndirimli,20.032,Beykent Üni.
2021,Güzel Sanatlar Fakültesi,Ücretli,40.063,Beykent Üni.
2021,Güzel Sanatlar Fakültesi,%25 İndirimli,30.047,Beykent Üni.
2021,Güzel Sanatlar Fakültesi,%50 İndirimli,20.032,Beykent Üni.
2021,Hukuk Fakültesi,Ücretli,53.628,Beykent Üni.
2021,Hukuk Fakültesi,%25 İndirimli,40.221,Beykent Üni.
2021,İktisadi ve İdari Bilimler Fakültesi,Ücretli,40.063,Beykent Üni.
2021,İktisadi ve İdari Bilimler Fakültesi,%50 İndirimli,20.032,Beykent Üni.
2021,İletişim Fakültesi,Ücretli,40.063,Beykent Üni.
2021,İletişim Fakültesi,%50 İndirimli,20.032,Beykent Üni.
2021,Mühendislik-Mimarlık Fakültesi,Ücretli,40.063,Beykent Üni.
2021,Mühendislik-Mimarlık Fakültesi,%25 İndirimli,30.047,Beykent Üni.
2021,Mühendislik-Mimarlık Fakültesi,%50 İndirimli,20.032,Beykent Üni.
2021,Sağlık Bilimleri Fakültesi,Ücretli,40.063,Beykent Üni.
2021,Sağlık Bilimleri Fakültesi,%25 İndirimli,30.047,Beykent Üni.
2021,Sağlık Bilimleri Fakültesi,%50 İndirimli,20.032,Beykent Üni.
2021,Tıp Fakültesi,Ücretli,104.102,Beykent Üni.
2021,Tıp Fakültesi,%25 İndirimli,78.077,Beykent Üni.
2021,Tıp Fakültesi,Ücretli,62.500,Bezmialem Vakıf Üni.
2021,Hazırlık,Ücretli,33.500,Bezmialem Vakıf Üni.
2021,Sağlık Yönetimi Bölümü,Ücretli,21.000,Bezmialem Vakıf Üni.
2021,Ergoterapi Bölümü,Ücretli,26.500,Bezmialem Vakıf Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,90.000,Bezmialem Vakıf Üni.
2021,Eczacılık Fakültesi,Ücretli,67.500,Bezmialem Vakıf Üni.
2021,Beslenme ve Diyetetik Bölümü,Ücretli,45.000,Bezmialem Vakıf Üni.
2021,Fizyoterapi ve Rehabilitasyon Bölümü,Ücretli,45.000,Bezmialem Vakıf Üni.
2021,Hemşirelik Bölümü,Ücretli,37.500,Bezmialem Vakıf Üni.
2021,Odyoloji Bölümü,Ücretli,45.000,Bezmialem Vakıf Üni.
2021,İngilizce Hazırlık Programı,Ücretli,39.750,Bilgi Üni.
2021,Hukuk Fakültesi,Ücretli,49.750,Bilgi Üni.
2021,İletişim Fakültesi,Ücretli,39.750,Bilgi Üni.
2021,İşletme Fakültesi,Ücretli,39.750,Bilgi Üni.
2021,Mimarlık Fakültesi (Endüstri Ürünleri Tasarımı),Ücretli,39.750,Bilgi Üni.
2021,Mimarlık Fakültesi (İç Mimarlık),Ücretli,39.750,Bilgi Üni.
2021,Mimarlık Fakültesi (Mimarlık),Ücretli,44.750,Bilgi Üni.
2021,Mühendislik ve Doğa Bilimleri Fakültesi,Ücretli,42.750,Bilgi Üni.
2021,Sağlık Bilimleri Fakültesi,Ücretli,34.150,Bilgi Üni.
2021,Sosyal ve Beşeri Bilimler Fakültesi,Ücretli,39.750,Bilgi Üni.
2021,Sosyal ve Beşeri Bilimler Fakültesi (Psikoloji),Ücretli,44.750,Bilgi Üni.
2021,Sivil Havacılık Yüksekokulu,Ücretli,30.250,Bilgi Üni.
2021,Spor Bilimleri ve Teknolojisi Yüksekokulu,Ücretli,30.250,Bilgi Üni.
2021,Turizm ve Otelcilik (Gastronomi ve Mutfak Sanatları),Ücretli,32.750,Bilgi Üni.
2021,Turizm ve Otelcilik Yüksekokulu (Turizm İşletmeciliği),Ücretli,30.250,Bilgi Üni.
2021,Uygulamalı Bilimler Yüksekokulu,Ücretli,30.250,Bilgi Üni.
2021,Adalet Meslek Yüksekokulu,Ücretli,28.900,Bilgi Üni.
2021,"Dış Ticaret, Halkla İlişkiler ve Tanıtım",Ücretli,28.900,Bilgi Üni.
2021,"Aşçılık, Bilgisayar Programcılığı, Bilişim Güvenliği Tekno.,",Ücretli,17.900,Bilgi Üni.
2021,"E-Ticaret ve Pazarlama, Sivil Havacılık Kabin Hiz.",Ücretli,17.900,Bilgi Üni.
2021,"Grafik Tasarım, İç Mekan Tasarımı, İnşaat Teknolojisi, Mimari Restorasyon, Moda Tasarımı,",Ücretli,16.400,Bilgi Üni.
2021,"Bankacılık ve Sigortacılık, Muhasebe ve Vergi Uygulamaları, Sivil Hava Ulaştırma İşletmeciliği",Ücretli,16.400,Bilgi Üni.
2021,"Anestezi, Fizyoterapi, İlk ve Acil Yardım",Ücretli,28.900,Bilgi Üni.
2021,"Ağız ve Diş Sağlığı, Ameliyathane Hizmetleri, Tıbbi Görüntüleme Teknikleri",Ücretli,17.400,Bilgi Üni.
2021,"Çocuk Gelişimi, Diş Protez Teknolojisi, Diyaliz, Elektronörofizyoloji, İş Sağlığı ve Güvenliği,",Ücretli,16.400,Bilgi Üni.
2021,"Odyometri, Optisyenlik, Patoloji Laboratuvar Teknikleri",Ücretli,16.400,Bilgi Üni.
2021,İngilizce Hazırlık Programı,Ücretli,79.500,Bilgi Üni.
2021,Sosyal ve Beşeri Bilimler Fakültesi (Psikoloji),Ücretli,89.500,Bilgi Üni.
