academicYear,idOSYM,baseScore,topScore
2023,108610122,"40,252,851","44,376,331"
2022,108610122,"39,445,484","44,392,310"
2023,101690096,"39,905,891","45,612,625"
2022,101690096,"39,591,275","43,507,863"
2023,100710869,"40,351,540","48,860,585"
2022,100710869,"39,192,300","45,056,550"
2023,101410375,"39,798,070","47,192,427"
2022,101410375,"39,667,012","52,398,854"
2023,105310055,"40,074,016","46,154,064"
2022,105310055,"40,745,847","46,182,799"
2023,108190145,"39,726,602","45,787,744"
2022,108190145,"39,760,467","44,261,212"
2023,111610422,"40,687,145","42,697,656"
2022,111610422,"39,069,054","46,954,337"
2023,111610397,"40,590,673","43,423,242"
2022,111610397,"38,138,097","43,989,843"
2023,104110193,"40,307,459","46,755,657"
2022,104110193,"38,452,158","47,394,962"
2023,101010088,"40,256,771","52,762,953"
2022,101010088,"39,629,554","45,787,844"
2023,104390117,"39,525,010","44,099,856"
2022,104390117,"39,483,745","47,451,406"
2023,103510156,"39,898,640","45,219,208"
2022,103510156,"38,616,268","44,112,950"
2023,103990109,"39,652,509","44,455,392"
2022,103990109,"39,556,134","49,227,112"
2023,103510147,"39,500,206","45,627,503"
2022,103510147,"38,644,379","45,156,963"
2023,105690809,"40,635,977","45,614,274"
2022,105690809,"38,980,088","47,710,587"
2023,104110272,"39,686,995","41,678,661"
2022,104110272,"37,356,064","43,491,645"
2023,106090102,"38,852,259","44,718,124"
2022,106090102,"39,677,630","43,469,268"
2023,105090091,"38,911,074","43,375,735"
2022,105090091,"39,362,448","47,424,948"
2023,101010907,"39,639,202","45,677,731"
2022,101010907,"38,168,056","44,577,446"
2023,100710675,"39,702,079","48,575,027"
2022,100710675,"37,628,054","47,443,134"
2023,103190649,"39,625,711","46,344,637"
2022,103190649,"37,051,343","41,114,042"
2023,107910273,"39,577,923","44,197,773"
2022,107910273,"38,431,636","49,751,285"
2023,107710018,"39,353,918","45,526,078"
2022,107710018,"40,438,380","44,644,154"
2023,101011023,"39,389,136","42,797,519"
2022,101011023,"38,911,062","43,631,336"
2023,102390068,"38,840,286","41,427,733"
2022,102390068,"39,165,161","43,711,732"
2023,105610219,"39,876,872","44,913,011"
2022,105610219,"39,584,475","45,204,077"
2023,112190235,"37,754,297","43,407,675"
2023,103290207,"39,489,749","45,101,972"
2022,103290207,"38,291,768","41,050,317"
2023,103110972,"39,815,985","45,887,047"
2022,103110972,"38,531,968","45,701,884"
2023,109710012,"39,400,795","44,528,909"
2022,109710012,"38,081,844","44,296,808"
2023,103490442,"39,376,034","45,322,610"
2022,103490442,"38,279,152","45,502,552"
2023,100790417,"39,229,954","46,523,046"
2022,100790417,"37,383,914","43,979,715"
2023,103690063,"38,658,366","45,452,965"
2022,103690063,"39,090,330","46,700,421"
2023,108911717,"39,120,610","44,314,015"
2022,108911717,"38,632,108","41,150,487"
2023,103110081,"39,631,188","42,971,496"
2022,103110081,"38,123,842","44,979,862"
2023,109210071,"38,890,387","42,692,872"
2022,109210071,"38,136,179","43,412,093"
2023,106210186,"39,033,058","45,887,279"
2022,106210186,"38,237,536","43,168,227"
2023,107410136,"39,010,631","43,551,855"
2022,107410136,"37,793,998","46,673,749"
2023,101010104,"39,442,607","43,288,219"
2022,101010104,"37,668,464","43,641,717"
