academicYear,idOSYM,baseScore,topScore
2023,105090091,"389,11074","433,75735"
2022,105090091,"393,62448","474,24948"
2023,101010907,"396,39202","456,77731"
2022,101010907,"381,68056","445,77446"
2023,100710675,"397,02079","485,75027"
2022,100710675,"376,28054","474,43134"
2023,103190649,"396,25711","463,44637"
2022,103190649,"370,51343","411,14042"
2023,107910273,"395,77923","441,97773"
2022,107910273,"384,31636","497,51285"
2023,107710018,"393,53918","455,26078"
2022,107710018,"404,38380","446,44154"
2023,101011023,"393,89136","427,97519"
2022,101011023,"389,11062","436,31336"
2023,102390068,"388,40286","414,27733"
2022,102390068,"391,65161","437,11732"
2023,105610219,"398,76872","449,13011"
2022,105610219,"395,84475","452,04077"
2023,112190235,"377,54297","434,07675"
2023,103290207,"394,89749","451,01972"
2022,103290207,"382,91768","410,50317"
2023,103110972,"398,15985","458,87047"
2022,103110972,"385,31968","457,01884"
2023,109710012,"394,00795","445,28909"
2022,109710012,"380,81844","442,96808"
2023,103490442,"393,76034","453,22610"
2022,103490442,"382,79152","455,02552"
2023,100790417,"392,29954","465,23046"
2022,100790417,"373,83914","439,79715"
2023,103690063,"386,58366","454,52965"
2022,103690063,"390,90330","467,00421"
2023,108911717,"391,20610","443,14015"
2022,108911717,"386,32108","411,50487"
2023,103110081,"396,31188","429,71496"
2022,103110081,"381,23842","449,79862"
2023,109210071,"388,90387","426,92872"
2022,109210071,"381,36179","434,12093"
2023,106210186,"390,33058","458,87279"
2022,106210186,"382,37536","431,68227"
2023,107410136,"390,10631","435,51855"
2022,107410136,"377,93998","466,73749"
2023,101010104,"394,42607","432,88219"
2022,101010104,"376,68464","436,41717"
2023,101890245,"382,62544","397,08821"
2022,101890245,"387,36190","451,26803"
2023,111711631,"389,13518","433,86901"
2022,111711631,"369,96423","463,03261"
2023,106770737,"384,94221","461,47436"
2022,106770737,"375,68840","431,48035"
2023,110410227,"385,52288","456,22927"
2022,110410227,"377,98247","437,54987"
2023,111710148,"385,15168","438,22789"
2022,111710148,"360,07916","390,37409"
2023,101190427,"413,55538","502,29492"
2022,101190427,"392,99845","499,63369"
2023,103290218,"383,99323","416,52484"
2022,103290218,"372,40329","420,59813"
2023,105610122,"392,24913","440,56388"
2022,105610122,"372,87844","441,05057"
2023,108010464,"382,39275","441,36182"
2022,108010464,"368,38519","431,84256"
2023,109710057,"378,08171","415,52500"
2022,109710057,"362,45600","422,81931"
2023,105710139,"385,98397","427,53149"
2022,105710139,"372,50306","448,76040"
2023,106690182,"384,52453","432,77101"
2022,106690182,"375,48547","422,65073"
2023,109090064,"378,83382","425,01723"
2022,109090064,"383,71321","481,84466"
2023,107890029,"379,43708","402,74963"
2022,107890029,"384,86772","438,15349"
2023,103810083,"383,62988","444,88441"
2022,103810083,"372,37496","435,25573"
2023,103510129,"382,17970","459,81785"
2022,103510129,"387,25527","449,12580"
2023,107690294,"377,03966","415,59196"
2022,107690294,"359,85621","425,49133"
2023,108890246,"384,07463","442,73977"
2022,108890246,"362,90056","442,93147"
2023,107390091,"373,41597","394,07827"
2022,107390091,"366,24100","397,08815"
2023,108390153,"374,55399","419,00937"
2022,108390153,"368,23958","433,02689"
2023,101110245,"378,90149","411,69147"
2022,101110245,"357,76575","461,86846"
2023,103510174,"376,97590","423,56714"
2022,103510174,"368,11788","416,49096"
2023,101690109,"374,10562","440,53813"
2022,101690109,"368,67304","427,99769"
2023,104210032,"376,94549","443,72101"
2022,104210032,"372,34759","460,70158"
2023,100990039,"373,15783","403,49488"
2022,100990039,"369,72013","402,00718"
2023,101190430,"397,98782","490,32870"
2022,101190430,"379,04150","502,12069"
2023,104890561,"432,16696","432,16696"
2023,106770734,"369,05628","412,41247"
2022,106770734,"361,86569","410,30656"
2023,107610019,"374,55831","414,02981"
2022,107610019,"359,52055","469,00495"
2023,100310652,"375,11100","431,83837"
2022,100310652,"362,93729","418,44798"
2023,110310435,"372,21867","439,04231"
2022,110310435,"365,48974","469,81435"
2023,109890118,"368,66632","421,28060"
2022,109890118,"362,10900","432,45517"
2023,101490395,"366,28564","460,16086"
2022,101490395,"362,49057","405,73628"
2023,100711204,"373,70662","401,28616"
2022,100711204,"360,83476","440,29257"
2023,108090092,"364,02370","440,30952"
2022,108090092,"362,71201","432,08610"
2023,104970176,"371,08767","398,92791"
2022,104970176,"376,98816","404,29699"
2023,103090226,"380,03031","451,62559"
2022,103090226,"365,03076","396,25939"
2023,105610131,"376,37909","433,65018"
2022,105610131,"352,89302","482,82876"
2023,105610088,"383,33307","480,15626"
2022,105610088,"381,89799","476,87925"
2023,107710503,"360,76835","484,00759"
2022,107710503,"371,14000","413,32988"
2023,108610794,"361,43471","415,30123"
2022,108610794,"347,43213","393,51860"
2023,101490364,"363,01392","392,97691"
2022,101490364,"360,99629","395,08523"
2023,102610158,"361,84947","438,57245"
2022,102610158,"357,47570","424,88012"
2023,105310479,"366,47081","427,61937"
2022,105310479,"372,53572","424,34346"
2023,108190122,"360,21370","421,46847"
2022,108190122,"356,11287","390,90533"
2023,111210067,"360,10651","387,47071"
2023,104510435,"357,20094","454,88743"
2022,104510435,"351,84762","387,28008"
2023,108210029,"366,56342","512,74988"
2022,108210029,"356,56360","412,72986"
2023,109490281,"353,45458","453,46479"
2022,109490281,"338,80005","451,20736"
2023,105611341,"379,62409","475,09106"
2022,105611341,"360,04740","413,71228"
2023,101110351,"365,00711","430,36434"
2022,101110351,"331,55954","487,92596"
2023,101110103,"369,94216","484,25816"
2022,101110103,"335,98447","441,45183"
2023,100890063,"357,96756","421,57411"
2022,100890063,"353,34305","382,87138"
2023,106211042,"362,12337","453,99310"
2022,106211042,"335,21772","395,24453"
2023,105611623,"372,19582","412,99225"
2022,105611623,"354,79929","411,05236"
2023,110210172,"364,21785","404,54809"
2022,110210172,"359,93951","403,25601"
2023,101190432,"376,43428","502,61579"
2022,101190432,"347,59155","483,45046"
2023,110910168,"344,99424","406,30016"
2022,110910168,"364,22017","421,52465"
2023,100310873,"363,15033","436,86659"
2022,100310873,"344,28263","392,97876"
2023,101510523,"349,91313","417,62356"
2022,101510523,"338,94191","433,94983"
2023,102910022,"372,78889","447,02818"
2022,102910022,"347,71833","456,39122"
2023,107490302,"359,95231","446,50104"
2022,107490302,"336,90707","405,44591"
2023,104110209,"365,09554","453,47113"
2022,104110209,"358,77869","466,45543"
2023,109410854,"357,31398","395,67819"
2022,109410854,"342,01441","412,78726"
2023,107490303,"352,86099","417,98252"
2022,107490303,"329,28083","482,17558"
2023,104310597,"351,28672","459,35428"
2022,104310597,"347,53138","406,35229"
2023,100310097,"358,26275","395,67491"
2022,100310097,"338,00538","401,61041"
2023,106090171,"344,55590","476,34630"
2023,107410763,"348,46069","442,36152"
2022,107410763,"337,79354","439,94922"
2023,108710396,"351,23196","493,95560"
2022,108710396,"348,81740","468,64182"
2023,106390073,"350,35129","475,97539"
2022,106390073,"344,74914","424,91503"
2023,106110212,"362,87500","424,66789"
2022,106110212,"358,62975","474,19479"
2023,101190422,"346,18176","415,43540"
2022,101190422,"323,34556","409,06545"
2023,108810102,"344,54961","421,19424"
2022,108810102,"321,93198","467,39893"
2023,111570392,"339,54739","378,97897"
2023,108610476,"344,63866","467,89077"
2022,108610476,"324,16941","409,02455"
2023,105490155,"349,59426","349,59426"
2023,102690212,"348,29160","438,15148"
2022,102690212,"351,56744","432,34530"
2023,111711737,"267,72339","303,69025"
2022,111711737,"265,10673","349,83613"
2023,105610176,"343,96835","424,34742"
