Üniversite,Bölüm/Fakülte,Ücret,Burs oranı,Akademik yıl
Antalya Akev Üniversitesi,Sosyoloji,42.500 TL, %50 İndirim ,2022
Bilgi Üniversitesi,Psikoloji - 125.000 TL,125.000 TL,2022
Bilgi Üniversitesi,Sivil Havacılık Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Spor Bilimleri ve Teknolojisi Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Gastronomi ve Mutfak Sanatları - 89.500 TL,89.500 TL,2022
Bilgi Üniversitesi,Turizm İşletmeciliği (%50 Burslu),,2022
Bilgi Üniversitesi,Uygulamalı Bilimler Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Adalet Meslek Yüksekokulu (%50 Burslu) - 39.450 TL,39.450 TL,2022
Bilgi Üniversitesi,"Dış Ticaret, Halkla İlişkiler ve Tanıtım (%50 Burslu) - 39.450 TL",39.450 TL,2022
Bilgi Üniversitesi,Bilgisayar Programcılığı ve Bilişim Güvenliği (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,E- Ticaret ve Pazarlama (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,Sivil Havacılık Kabin Hazırlama (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,"Anestezi, İlk ve Acil Yardım ( %50 Burslu) - 39.450 TL",39.450 TL,2022
Bilgi Üniversitesi,Fizyoterapi (%50 Burslu) - 39.450 TL,39.450 TL,2022
Bilgi Üniversitesi,"Odyometri, Optisyenlik - 22.450 TL",22.450 TL,2022
Bilgi Üniversitesi,Patoloji ve Laboratuvar Teknikleri - 24.450 TL,24.450 TL,2022
Bilkent Üniversitesi,,,2022
Çağ Üniversitesi,Fakültelerin Tüm Lisans Bölümleri - 52.750 TL,52.750 TL,2022
Çağ Üniversitesi,Meslek Yüksekokulundaki Tüm Bölümler -26.375 TL,26.375 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Türk Dili ve Edebiyatı (%50 Burslu) - 35.000 TL,35.000 TL,2022
