,BURSA ULUDAĞ ÜNİVERSİTESİ,DEVLET,BURSA,BİRİNCİ Ö.,8615,6262,14877,15754,16346,32100,1752,2212,3964,1156,1024,2180,27277,25844,53121,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ÇAĞ ÜNİVERSİTESİ,VAKIF,MERSİN,BİRİNCİ Ö.,490,628,1118,1073,1496,2569,344,442,786,13,18,31,1920,2584,4504,
,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,DEVLET,ÇANAKKALE,BİRİNCİ Ö.,5952,4803,10755,10319,12110,22429,1567,1927,3494,382,393,775,18220,19233,37453,
,ÇANKAYA ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,115,80,195,3047,2527,5574,351,336,687,32,34,66,3545,2977,6522,
,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,DEVLET,ÇANKIRI,BİRİNCİ Ö.,2061,1356,3417,3797,4306,8103,3081,1946,5027,194,120,314,9133,7728,16861,
,ÇUKUROVA ÜNİVERSİTESİ,DEVLET,ADANA,BİRİNCİ Ö.,5112,3520,8632,13443,12366,25809,1207,1176,2383,850,823,1673,20612,17885,38497,
,DEMİROĞLU BİLİM ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,162,457,619,618,1347,1965,6,26,32,0,3,3,786,1833,2619,
,DİCLE ÜNİVERSİTESİ,DEVLET,DİYARBAKIR,BİRİNCİ Ö.,4272,3282,7554,9992,8678,18670,798,616,1414,474,245,719,15536,12821,28357,
,DOĞUŞ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,2284,2123,4407,3970,3059,7029,220,149,369,20,35,55,6494,5366,11860,
,DOKUZ EYLÜL ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,4779,2789,7568,19023,16759,35782,2018,2796,4814,1098,1208,2306,26918,23552,50470,
,DÜZCE ÜNİVERSİTESİ,DEVLET,DÜZCE,BİRİNCİ Ö.,3887,2709,6596,8097,7357,15454,1024,876,1900,254,169,423,13262,11111,24373,
,EGE ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,6872,4254,11126,15588,15858,31446,1757,2563,4320,1243,1782,3025,25460,24457,49917,
,ERCİYES ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,805,1571,2376,13911,13694,27605,3236,3133,6369,1297,1101,2398,19249,19499,38748,
,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,ERZİNCAN,BİRİNCİ Ö.,4840,3651,8491,5083,6250,11333,560,597,1157,140,96,236,10623,10594,21217,
,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,ERZURUM,BİRİNCİ Ö.,0,0,0,1416,1381,2797,264,268,532,73,50,123,1753,1699,3452,
,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,1480,1269,2749,9313,8507,17820,1171,1284,2455,465,433,898,12429,11493,23922,
,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,2180,693,2873,5086,3806,8892,818,622,1440,337,264,601,8421,5385,13806,
,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,214,493,707,2204,3061,5265,264,457,721,134,152,286,2816,4163,6979,
,FENERBAHÇE ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,356,746,1102,1240,1153,2393,13,7,20,1,1,2,1610,1907,3517,
,FIRAT ÜNİVERSİTESİ,DEVLET,ELAZIĞ,BİRİNCİ Ö.,4079,2805,6884,9966,8945,18911,1328,1257,2585,582,408,990,15955,13415,29370,
,GALATASARAY ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,1355,1291,2646,248,221,469,186,196,382,1789,1708,3497,
,GAZİ ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,2053,1426,3479,12302,13978,26280,2424,3024,5448,1697,1995,3692,18476,20423,38899,
,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,GAZİANTEP,BİRİNCİ Ö.,189,363,552,424,714,1138,54,16,70,0,0,0,667,1093,1760,
,GAZİANTEP ÜNİVERSİTESİ,DEVLET,GAZİANTEP,BİRİNCİ Ö.,6391,5381,11772,9531,10284,19815,1662,1611,3273,484,327,811,18068,17603,35671,
,GEBZE TEKNİK ÜNİVERSİTESİ,DEVLET,KOCAELİ,BİRİNCİ Ö.,0,0,0,3560,2569,6129,1009,771,1780,362,369,731,4931,3709,8640,
,GİRESUN ÜNİVERSİTESİ,DEVLET,GİRESUN,BİRİNCİ Ö.,4147,4061,8208,4870,5420,10290,770,768,1538,85,102,187,9872,10351,20223,
,GÜMÜŞHANE ÜNİVERSİTESİ,DEVLET,GÜMÜŞHANE,BİRİNCİ Ö.,2769,2965,5734,2858,3501,6359,954,549,1503,88,52,140,6669,7067,13736,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,HACETTEPE ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,2454,2295,4749,16526,21002,37528,1691,2571,4262,1811,2516,4327,22482,28384,50866,
,HAKKARİ ÜNİVERSİTESİ,DEVLET,HAKKARİ,BİRİNCİ Ö.,830,648,1478,697,814,1511,145,53,198,0,0,0,1672,1515,3187,
,HALİÇ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,970,1060,2030,5120,5641,10761,452,765,1217,44,77,121,6586,7543,14129,
,HARRAN ÜNİVERSİTESİ,DEVLET,ŞANLIURFA,BİRİNCİ Ö.,4588,4044,8632,5992,6230,12222,869,643,1512,279,165,444,11728,11082,22810,
,HASAN KALYONCU ÜNİVERSİTESİ,VAKIF,GAZİANTEP,BİRİNCİ Ö.,282,522,804,2182,3074,5256,391,437,828,146,153,299,3001,4186,7187,
,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,HATAY,BİRİNCİ Ö.,4620,3941,8561,6638,6793,13431,449,498,947,139,124,263,11846,11356,23202,
,HİTİT ÜNİVERSİTESİ,DEVLET,ÇORUM,BİRİNCİ Ö.,3394,2791,6185,3494,3431,6925,668,617,1285,122,89,211,7678,6928,14606,
,IĞDIR ÜNİVERSİTESİ,DEVLET,IĞDIR,BİRİNCİ Ö.,1920,1900,3820,2025,1915,3940,858,466,1324,72,25,97,4875,4306,9181,
,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,ISPARTA,BİRİNCİ Ö.,8294,5568,13862,2281,797,3078,557,249,806,169,105,274,11301,6719,18020,
,IŞIK ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,412,526,938,2978,1887,4865,274,295,569,47,58,105,3711,2766,6477,
,İBN HALDUN ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,0,0,0,400,461,861,376,336,712,107,83,190,883,880,1763,
,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,0,0,0,5594,5031,10625,383,404,787,212,197,409,6189,5632,11821,
,İNÖNÜ ÜNİVERSİTESİ,DEVLET,MALATYA,BİRİNCİ Ö.,2209,2097,4306,8307,10078,18385,1356,1307,2663,761,544,1305,12633,14026,26659,
,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,HATAY,BİRİNCİ Ö.,2566,1134,3700,3503,1622,5125,571,321,892,85,39,124,6725,3116,9841,
,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,2298,1936,4234,2451,2357,4808,651,779,1430,108,126,234,5508,5198,10706,
,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,225,518,743,535,1053,1588,18,67,85,0,0,0,778,1638,2416,
,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,5779,5270,11049,9039,8441,17480,1438,1921,3359,183,204,387,16439,15836,32275,
,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1246,1590,2836,7808,7006,14814,369,946,1315,48,73,121,9471,9615,19086,
,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1025,818,1843,1640,1343,2983,120,138,258,0,0,0,2785,2299,5084,
,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,183,386,569,447,601,1048,0,0,0,0,0,0,630,987,1617,
,İSTANBUL GEDİK ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1066,721,1787,1480,1344,2824,566,488,1054,92,31,123,3204,2584,5788,
,İSTANBUL GELİŞİM ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,5295,4483,9778,9588,8111,17699,1247,1297,2544,103,47,150,16233,13938,30171,
,İSTANBUL KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,58,25,83,0,0,0,0,0,0,0,0,0,58,25,83,
,İSTANBUL KENT ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,363,930,1293,937,2005,2942,151,285,436,5,4,9,1456,3224,4680,
,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,2231,1395,3626,5026,4777,9803,569,598,1167,91,76,167,7917,6846,14763,
,İSTANBUL MEDENİYET ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,5075,6511,11586,534,625,1159,289,271,560,5898,7407,13305,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,İSTANBUL MEDİPOL ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,3043,5686,8729,8546,16174,24720,360,810,1170,318,442,760,12267,23112,35379,
,İSTANBUL OKAN ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1576,1427,3003,5234,4331,9565,762,1286,2048,236,239,475,7808,7283,15091,
,İSTANBUL RUMELİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1002,1359,2361,1281,1049,2330,240,226,466,1,3,4,2524,2637,5161,
,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,0,0,0,2939,4847,7786,1149,1239,2388,459,176,635,4547,6262,10809,
