Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Haliç Üni.,Ebelik,43.200,2021
Haliç Üni.,Hemşirelik,49.680,2021
Haliç Üni.,Hemşirelik (İngilizce),49.680,2021
Hasan Kaloyncu Üni.,Hukuk,50.000,2021
Hasan Kalyoncu Üni.,İngilizce Hazırlık,36.000,2021
Hasan Kalyoncu Üni.,İngilizce Öğretmenliği,36.000,2021
Hasan Kalyoncu Üni.,Okul Öncesi Öğretmenliği,36.000,2021
Hasan Kalyoncu Üni.,Sınıf Öğretmenliği,36.000,2021
Hasan Kalyoncu Üni.,Özel Öğretim Öğretmenliği,36.000,2021
Hasan Kalyoncu Üni.,Rehberlik ve Psikolojik Danışmanlık,36.000,2021
Hasan Kalyoncu Üni.,Mimarlık,36.000,2021
Hasan Kalyoncu Üni.,İç Mimarlık ve Çevre Tasarımı,36.000,2021
Hasan Kalyoncu Üni.,Gastronomi ve Mutfak Sanatları,36.000,2021
Hasan Kalyoncu Üni.,İktisat,36.000,2021
Hasan Kalyoncu Üni.,İşletme,36.000,2021
Hasan Kalyoncu Üni.,Psikoloji,36.000,2021
Hasan Kalyoncu Üni.,Uluslararası Ticaret ve Lojistik,36.000,2021
Hasan Kalyoncu Üni.,Siyaset Bilimi ve Uluslararası İlişkiler,36.000,2021
Hasan Kalyoncu Üni.,Görsel İletişim Tasarımı,36.000,2021
Hasan Kalyoncu Üni.,Radyo Televizyon Sinema,36.000,2021
Hasan Kalyoncu Üni.,İnşaat Mühendisliği (İngilizce),36.000,2021
Hasan Kalyoncu Üni.,Elektrik-Elektronik Mühendisliği (İngilizce),36.000,2021
Hasan Kalyoncu Üni.,Bilgisayar Mühendisliği (İngilizce),36.000,2021
Hasan Kalyoncu Üni.,Yazılım Mühendisliği (İngilizce),36.000,2021
Hasan Kalyoncu Üni.,Makine Mühendisliği,36.000,2021
Hasan Kalyoncu Üni.,Endüstri Mühendisliği,36.000,2021
Hasan Kalyoncu Üni.,Hemşirelik,31.000,2021
Hasan Kalyoncu Üni.,Beslenme ve Diyetetik,36.000,2021
Hasan Kalyoncu Üni.,Fizyoterapi ve Rehabilitasyon,36.000,2021
İstanbul 29 Mayıs Üni.,İngilizce Hazırlık,33.000,2021
İstanbul 29 Mayıs Üni.,Felsefe,32.000,2021
İstanbul 29 Mayıs Üni.,İngilizce Öğretmenliği,32.000,2021
İstanbul 29 Mayıs Üni.,Okul Öncesi Öğretmenliği,32.000,2021
İstanbul 29 Mayıs Üni.,Rehberlik ve Psikolojik Danışmanlık,32.000,2021
İstanbul 29 Mayıs Üni.,Tarih,32.000,2021
İstanbul 29 Mayıs Üni.,Türk Dili ve Edebiyatı,32.000,2021
İstanbul 29 Mayıs Üni.,Türkçe Öğretmenliği,32.000,2021
İstanbul 29 Mayıs Üni.,Ekonomi,36.000,2021
İstanbul 29 Mayıs Üni.,Siyaset Bilimi ve Uluslararası İlişkiler,36.000,2021
İstanbul 29 Mayıs Üni.,Psikoloji,40.000,2021
İstanbul 29 Mayıs Üni.,Hukuk,46.300,2021
