academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber

2023,ATILIM ÜNİVERSİTESİ,VAKIF,1117,

2023,AVRASYA ÜNİVERSİTESİ,VAKIF,104,

2023,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,535,

2023,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,6464,

2023,BALIKESİR ÜNİVERSİTESİ,DEVLET,610,

2023,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,2411,

2023,BARTIN ÜNİVERSİTESİ,DEVLET,1632,

2023,BAŞKENT ÜNİVERSİTESİ,VAKIF,440,

2023,BATMAN ÜNİVERSİTESİ,DEVLET,224,

2023,BAYBURT ÜNİVERSİTESİ,DEVLET,462,

2023,BEYKOZ ÜNİVERSİTESİ,VAKIF,1054,

2023,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,85,

2023,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,2252,

2023,BİNGÖL ÜNİVERSİTESİ,DEVLET,904,

2023,BİRUNİ ÜNİVERSİTESİ,VAKIF,2439,

2023,BİTLİS EREN ÜNİVERSİTESİ,DEVLET,423,

2023,BOĞAZİÇİ ÜNİVERSİTESİ,DEVLET,310,

2023,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,DEVLET,4424,

2023,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,DEVLET,1095,

2023,BURSA TEKNİK ÜNİVERSİTESİ,DEVLET,1561,

2023,BURSA ULUDAĞ ÜNİVERSİTESİ,DEVLET,5022,

2023,ÇAĞ ÜNİVERSİTESİ,VAKIF,17,

2023,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,DEVLET,2561,

2023,ÇANKAYA ÜNİVERSİTESİ,VAKIF,122,

2023,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,DEVLET,1818,

2023,ÇUKUROVA ÜNİVERSİTESİ,DEVLET,1297,

2023,DEMİROĞLU BİLİM ÜNİVERSİTESİ,VAKIF,9,

2023,DİCLE ÜNİVERSİTESİ,DEVLET,1345,

2023,DOĞUŞ ÜNİVERSİTESİ,VAKIF,1094,

2023,DOKUZ EYLÜL ÜNİVERSİTESİ,DEVLET,5800,

2023,DÜZCE ÜNİVERSİTESİ,DEVLET,1449,

2023,EGE ÜNİVERSİTESİ,DEVLET,2394,

2023,ERCİYES ÜNİVERSİTESİ,DEVLET,3130,

2023,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,933,

2023,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,111,

2023,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,1937,

2023,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,395,

2023,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,VAKIF,1053,

2023,FENERBAHÇE ÜNİVERSİTESİ,VAKIF,1582,

2023,FIRAT ÜNİVERSİTESİ,DEVLET,1636,

2023,GALATASARAY ÜNİVERSİTESİ,DEVLET,180,

2023,GAZİ ÜNİVERSİTESİ,DEVLET,1787,

2023,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,380,

2023,GAZİANTEP ÜNİVERSİTESİ,DEVLET,4170,

2023,GEBZE TEKNİK ÜNİVERSİTESİ,DEVLET,207,

2023,GİRESUN ÜNİVERSİTESİ,DEVLET,1393,

2023,GÜMÜŞHANE ÜNİVERSİTESİ,DEVLET,1850,

2023,HACETTEPE ÜNİVERSİTESİ,DEVLET,954,

2023,HALİÇ ÜNİVERSİTESİ,VAKIF,1846,

2023,HARRAN ÜNİVERSİTESİ,DEVLET,1866,

2023,HASAN KALYONCU ÜNİVERSİTESİ,VAKIF,398,

2023,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,430,

2023,HİTİT ÜNİVERSİTESİ,DEVLET,1318,

