academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2023,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,VAKIF,1423,7875
2023,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,VAKIF MYO,5,0
2023,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,4,3199
2023,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,VAKIF MYO,2708,0
2023,İSTANBUL TEKNİK ÜNİVERSİTESİ,DEVLET,1670,25981
2023,İSTANBUL TİCARET ÜNİVERSİTESİ,VAKIF,1113,6719
2023,İSTANBUL TOPKAPI ÜNİVERSİTESİ,VAKIF,4045,6927
2023,İSTANBUL ÜNİVERSİTESİ,DEVLET,10180,41719
2023,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,DEVLET,1624,17487
2023,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,VAKIF,4506,7698
2023,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,VAKIF,342,3970
2023,İSTİNYE ÜNİVERSİTESİ,VAKIF,3877,12585
2023,İZMİR BAKIRÇAY ÜNİVERSİTESİ,DEVLET,41,6114
2023,İZMİR DEMOKRASİ ÜNİVERSİTESİ,DEVLET,476,10544
2023,İZMİR EKONOMİ ÜNİVERSİTESİ,VAKIF,284,8287
2023,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,DEVLET,851,14872
2023,İZMİR KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,107,0
2023,İZMİR TINAZTEPE ÜNİVERSİTESİ,VAKIF,82,1622
2023,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,DEVLET,167,5821
2023,KADİR HAS ÜNİVERSİTESİ,VAKIF,527,4913
2023,KAFKAS ÜNİVERSİTESİ,DEVLET,1435,10153
2023,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,DEVLET,20,880
2023,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,DEVLET,1349,14015
2023,KAPADOKYA ÜNİVERSİTESİ,VAKIF,409,3404
2023,KARABÜK ÜNİVERSİTESİ,DEVLET,11558,22368
2023,KARADENİZ TEKNİK ÜNİVERSİTESİ,DEVLET,1584,20291
2023,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,DEVLET,851,8626
2023,KASTAMONU ÜNİVERSİTESİ,DEVLET,1759,12580
2023,KAYSERİ ÜNİVERSİTESİ,DEVLET,605,2728
2023,KIRIKKALE ÜNİVERSİTESİ,DEVLET,225,16807
2023,KIRKLARELİ ÜNİVERSİTESİ,DEVLET,2502,10395
2023,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,DEVLET,2072,11189
2023,KİLİS 7 ARALIK ÜNİVERSİTESİ,DEVLET,933,6991
2023,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,779,1810
2023,KOCAELİ ÜNİVERSİTESİ,DEVLET,2249,26926
2023,KOÇ ÜNİVERSİTESİ,VAKIF,838,9082
2023,KONYA GIDA VE TARIM ÜNİVERSİTESİ,VAKIF,220,1365
2023,KONYA TEKNİK ÜNİVERSİTESİ,DEVLET,385,4161
2023,KTO KARATAY ÜNİVERSİTESİ,VAKIF,597,6821
2023,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,DEVLET,7505,17799
2023,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,52,3787
2023,LOKMAN HEKİM ÜNİVERSİTESİ,VAKIF,395,3203
2023,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,DEVLET,90,3419
2023,MALTEPE ÜNİVERSİTESİ,VAKIF,464,6631
2023,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,DEVLET,1158,20595
2023,MARDİN ARTUKLU ÜNİVERSİTESİ,DEVLET,1749,8784
2023,MARMARA ÜNİVERSİTESİ,DEVLET,2509,43527
2023,MEF ÜNİVERSİTESİ,VAKIF,32,4041
2023,MERSİN ÜNİVERSİTESİ,DEVLET,3490,22795
2023,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,170,7906
2023,MUDANYA ÜNİVERSİTESİ,VAKIF,123,531
2023,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,DEVLET,1068,22504
2023,MUNZUR ÜNİVERSİTESİ,DEVLET,100,4793
2023,MUŞ ALPARSLAN ÜNİVERSİTESİ,DEVLET,12,7145
2023,NECMETTİN ERBAKAN ÜNİVERSİTESİ,DEVLET,1992,24569
2023,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,DEVLET,516,11686
2023,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,DEVLET,1178,13300
2023,NUH NACİ YAZGAN ÜNİVERSİTESİ,VAKIF,94,2542
2023,ONDOKUZ MAYIS ÜNİVERSİTESİ,DEVLET,5746,30210
2023,ORDU ÜNİVERSİTESİ,DEVLET,105,8819
2023,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,DEVLET,2031,23939
2023,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,DEVLET,141,7629
2023,OSTİM TEKNİK ÜNİVERSİTESİ,VAKIF,3056,5533
2023,ÖZYEĞİN ÜNİVERSİTESİ,VAKIF,1229,7825
2023,PAMUKKALE ÜNİVERSİTESİ,DEVLET,1579,24553
2023,PİRİ REİS ÜNİVERSİTESİ,VAKIF,18,4038
2023,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,DEVLET,430,10487
2023,SABANCI ÜNİVERSİTESİ,VAKIF,581,4399
2023,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,2523,16822
2023,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,3943,7885
2023,SAKARYA ÜNİVERSİTESİ,DEVLET,5196,27333
2023,SAMSUN ÜNİVERSİTESİ,DEVLET,256,5502
2023,SANKO ÜNİVERSİTESİ,VAKIF,33,1225
2023,SELÇUK ÜNİVERSİTESİ,DEVLET,2122,30364
2023,SİİRT ÜNİVERSİTESİ,DEVLET,2236,8591
2023,SİNOP ÜNİVERSİTESİ,DEVLET,106,6340
2023,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,44,289
2023,SİVAS CUMHURİYET ÜNİVERSİTESİ,DEVLET,3759,25513
2023,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,DEVLET,1743,23689
2023,ŞIRNAK ÜNİVERSİTESİ,DEVLET,90,2134
2023,TARSUS ÜNİVERSİTESİ,DEVLET,34,2240
2023,TED ÜNİVERSİTESİ,VAKIF,520,5235
2023,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,DEVLET,2054,14258
2023,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,43,5302
2023,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,DEVLET,3663,16718
2023,TOROS ÜNİVERSİTESİ,VAKIF,152,2001
2023,TRABZON ÜNİVERSİTESİ,DEVLET,103,6461
2023,TRAKYA ÜNİVERSİTESİ,DEVLET,3690,21864
2023,TÜRK HAVA KURUMU ÜNİVERSİTESİ,VAKIF,172,2725
2023,TÜRK-ALMAN ÜNİVERSİTESİ,DEVLET,68,4027
2023,UFUK ÜNİVERSİTESİ,VAKIF,8,2415
2023,UŞAK ÜNİVERSİTESİ,DEVLET,2446,14375
2023,ÜSKÜDAR ÜNİVERSİTESİ,VAKIF,3356,13244
2023,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,DEVLET,381,16086
2023,YALOVA ÜNİVERSİTESİ,DEVLET,1166,9249
2023,YAŞAR ÜNİVERSİTESİ,VAKIF,272,7058
2023,YEDİTEPE ÜNİVERSİTESİ,VAKIF,1098,18499
2023,YILDIZ TEKNİK ÜNİVERSİTESİ,DEVLET,2398,27444
2023,YOZGAT BOZOK ÜNİVERSİTESİ,DEVLET,1461,12133
2023,YÜKSEK İHTİSAS ÜNİVERSİTESİ,VAKIF,300,1683
2023,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,DEVLET,2423,14347
2022,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,235,2670
2022,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,169,2842
2022,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,26,3176
2022,ADIYAMAN ÜNİVERSİTESİ,DEVLET,323,9565
2022,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,1325,13463
2022,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,127,3450
2022,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,359,6900
2022,AKDENİZ ÜNİVERSİTESİ,DEVLET,2179,31704
2022,AKSARAY ÜNİVERSİTESİ,DEVLET,1438,10594
2022,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,715,7939
2022,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,VAKIF,60,363
2022,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,5629,7374
2022,AMASYA ÜNİVERSİTESİ,DEVLET,50,5253
2022,ANADOLU ÜNİVERSİTESİ,DEVLET,15755,17229
2022,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,69,651
2022,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,652,18836
2022,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,597,2974
2022,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,51,367
2022,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,266,2787
2022,ANKARA ÜNİVERSİTESİ,DEVLET,4626,43226
