academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatlarý,206111845,SÖZ,English,100,10,10,,,,ÝSTANBUL,Marmara,1,---,2,1.168,468,118.605,190.198,,,"%50,0","%50,0",431,,"%22,7","%67,1",370,"3,4",,"1,8","%20,0","%100,0","%100,0",,24,71,95,39,50
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatlarý,206111845,SÖZ,English,100,11,11,,,,ÝSTANBUL,Marmara,1,---,2,1.219,203,110.673,174.769,,,"%90,9","%45,5",325,,"%19,4","%69,5","%89,8","3,7",,"1,6","%36,4","%100,0","%100,0",,19,59,78,23,44
2023,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Görsel Ýletiþim Tasarýmý ,205410892,SÖZ,Turkish,100,5,5,,,,ANKARA,Ýç Anadolu,2,---,2,684,465,116.897,224.956,,,"%85,7","%42,9",158,,"%15,8","%55,1","%93,7","4,1",,"2,9","%14,3","%71,4","%100,0",,27,28,55,12,24
2022,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Görsel Ýletiþim Tasarýmý ,205410892,SÖZ,Turkish,100,6,6,,,,ANKARA,Ýç Anadolu,1,1,1,1.611,1.003,145.638,175.965,,,"%83,3","%16,7",188,,"%19,7","%47,9",158,"4,7",,"2,2","%33,3","%83,3","%100,0",,34,28,62,16,21
2021,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Görsel Ýletiþim Tasarýmý ,205410892,SÖZ,Turkish,100,6,6,,,,ANKARA,Ýç Anadolu,1,1,1,1.534,585,150.829,283.076,,,"%83,3","%16,7",169,,"%15,4","%48,5","%85,8","5,0",,"4,3","%16,7","%50,0","%100,0",,39,39,78,12,19
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,206111642,SÖZ,English,100,8,8,,,,ÝSTANBUL,Marmara,1,---,3,725,513,149.666,193.825,,,"%90,0","%20,0",196,,"%17,9","%46,4","%86,2","4,8",,"2,8","%20,0","%60,0","%100,0",,8,61,69,25,42
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,206111642,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,1,1,2,1.164,381,139.201,199.053,,,"%77,8","%66,7",284,,"%16,2","%44,7",252,"4,6",,"2,2","%22,2","%88,9","%100,0",,9,76,85,23,48
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Görsel Ýletiþim Tasarýmý,206111642,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,1,---,3,1.377,826,145.518,279.287,,,"%55,6","%44,4",270,,"%21,9","%46,7","%85,6","4,7",,"2,6","%33,3","%66,7","%100,0",,8,66,74,32,44
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,206190340,SÖZ,English,100,3,3,,,,ÝSTANBUL,Marmara,2,---,3,1.142,312,203.407,281.726,,,"%100,0",,121,,"%14,9","%30,6","%72,7","7,2",,"1,8","%50,0","%100,0","%100,0",,18,10,29,9,22
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,206190340,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,---,3,2.114,511,178.867,221.588,,,"%60,0","%40,0",114,,"%13,2","%35,1",76,"6,6",,"3,4","%20,0","%80,0","%100,0",,39,29,68,33,17
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,206190340,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,---,4,1.274,459,164.320,278.648,,,"%60,0","%80,0",125,,"%24,8","%39,2","%70,4","6,0",,"1,6","%60,0","%100,0","%100,0",,11,19,30,15,10
2023,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",203711584,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,1,3,1.349,417,125.322,264.125,,,"%42,9","%57,1",147,,"%10,2","%32,0","%76,9","5,8",,"1,4","%57,1","%100,0","%100,0",,7,18,25,11,33
2022,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",203711584,SÖZ,English,100,6,6,,,,ÝSTANBUL,Marmara,2,1,1,2.645,892,108.601,175.448,,,"%50,0","%83,3",212,,"%8,0","%35,4",157,"6,0",,"3,8","%16,7","%33,3","%100,0",,20,62,82,13,29
2021,KADÝR HAS ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,"Radyo, Televizyon ve Sinema",203711584,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,2,1,1,2.447,1.519,157.367,309.962,,,"%60,0","%60,0",191,,"%9,4","%40,8","%83,2","5,5",,"4,2","%60,0","%60,0","%80,0",,14,36,50,12,26
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Reklam Tasarýmý ve Ýletiþimi,206110574,SÖZ,English,100,8,8,,,,ÝSTANBUL,Marmara,2,1,2,1.326,690,137.384,204.321,,,"%66,7","%66,7",141,,"%10,6","%36,2","%78,7","6,1",,"4,0","%11,1","%66,7","%100,0",,39,57,96,8,40
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Reklam Tasarýmý ve Ýletiþimi,206110574,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,2,1,1,2.068,822,167.259,356.526,,,"%55,6","%66,7",189,,"%10,1","%33,9",137,"6,3",,"4,0","%11,1","%55,6","%100,0",,18,92,110,9,43
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Ýletiþim Fakültesi,Reklam Tasarýmý ve Ýletiþimi,206110574,SÖZ,English,100,8,8,,,,ÝSTANBUL,Marmara,2,---,2,2.331,1.549,188.253,237.127,,,"%87,5","%75,0",168,,"%8,3","%29,8","%79,8","6,4",,"4,3",%,"%37,5","%100,0",,30,66,96,8,41
2023,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatý ,205410035,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,2,1,2,937,790,136.937,224.161,,,"%75,0","%25,0",45,,"%11,1","%46,7","%75,6","7,5",,"7,0",%,"%50,0","%75,0",,9,27,36,5,16
2022,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatý ,205410035,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,2,---,2,1.514,824,169.927,297.438,,,"%66,7","%33,3",53,,"%15,1","%30,2",40,"6,2",,"2,7","%33,3","%66,7","%100,0",,11,9,20,6,16
2021,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatý ,205410035,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,1,---,3,839,21,64.048,90.197,,,"%100,0","%33,3",54,,"%27,8","%44,4","%83,3","5,9",,"1,0","%100,0","%100,0","%100,0",,16,5,21,21,16
