academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,202110426,SAY,English,100,42,42,,,,ANKARA,Ýç Anadolu,19,2,3,480,3,771,3.368,,,"%43,5","%65,2",1080,,"%20,6","%54,1","%91,1","4,0",,"1,3","%73,9","%97,8","%100,0",,137,137,274,116,212
2022,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,202110426,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,18,4,4,811,12,1.625,8.811,,,"%51,1","%57,8",819,,"%18,7","%56,4",762,"3,9",,"1,4","%66,7","%97,8","%100,0",,172,145,318,140,217
2021,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,202110426,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,19,4,3,797,56,1.991,8.566,,,"%55,6","%62,2",817,,"%16,0","%49,4","%91,9","4,2",,"1,5","%60,0","%97,8","%100,0",,194,162,356,127,213
2023,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp ,205411015,SAY,Turkish,100,6,6,,,,ANKARA,Ýç Anadolu,35,3,15,374,223,900,2.682,,,"%87,5","%25,0",248,,"%21,0","%44,0","%81,0","5,3",,"2,4","%37,5","%62,5","%100,0",,34,22,56,54,52
2022,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp ,205411015,SAY,Turkish,100,7,7,,,,ANKARA,Ýç Anadolu,34,9,11,523,204,1.901,2.920,,,"%100,0","%14,3",249,,"%12,9","%42,6",207,"5,5",,"2,4","%28,6","%71,4","%100,0",,53,33,86,65,54
2021,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Týp Fakültesi ,Týp ,205411015,SAY,Turkish,100,6,6,,,,ANKARA,Ýç Anadolu,37,7,12,1.839,528,2.592,4.422,,,"%83,3","%33,3",214,,"%9,8","%26,6","%81,8","6,2",,"1,7","%83,3","%83,3","%100,0",,38,18,56,49,60
2023,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,203910424,SAY,English,100,15,15,,,,ÝSTANBUL,Marmara,7,1,2,495,76,827,3.341,,,"%66,7","%50,0",686,,"%27,1","%56,4","%87,2","4,2",,"1,9","%44,4","%88,9","%100,0",,54,62,116,41,89
2022,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,203910424,SAY,English,100,16,16,,,,ÝSTANBUL,Marmara,6,1,2,693,83,1.495,5.465,,,"%81,3","%18,8",584,,"%33,2","%60,3",520,"3,7",,"1,8","%62,5","%87,5","%100,0",,71,73,144,52,133
2021,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,203910424,SAY,English,100,15,15,,,,ÝSTANBUL,Marmara,6,1,2,757,250,1.375,7.052,,,"%66,7","%33,3",642,,"%29,0","%55,5","%89,7","4,3",,"2,3","%26,7","%86,7","%100,0",,50,90,140,27,127
2023,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Matematik,203910115,SAY,English,100,4,4,,,,ÝSTANBUL,Marmara,9,---,4,316,88,777,1.994,,,"%100,0","%20,0",186,,"%21,5","%42,5","%80,1","5,4",,"3,0","%20,0","%80,0","%100,0",,7,20,27,5,79
