academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011422,SÖZ,Turkish,50,44,44.0,,,,İSTANBUL,Marmara,---,---,---,1.347.791,136.680,1.532.357,2.434.348,,,"%4,6","%97,7",313.0,,"%10,2","%28,4","%72,8","7,4",,"1,9","%70,5","%84,1","%100,0",,20,416.0,436.0,128.0,149.0
2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011422,SÖZ,Turkish,50,34,34.0,,,,İSTANBUL,Marmara,---,---,---,608.005,146.377,1.000.807,1.578.063,,,"%2,9","%97,1",418.0,,"%6,9","%19,1",248,"8,8",,"3,7","%23,5","%61,8","%94,1",,51,348.0,399.0,124.0,144.0
2021,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011422,SÖZ,Turkish,50,38,23.0,,,,İSTANBUL,Marmara,---,---,---,562.160,206.129,1.026.614,1.527.707,,,"%4,3","%100,0",142.0,,"%6,3","%24,6","%69,0","8,0",,"3,3","%39,1","%78,3","%91,3",,19,235.0,254.0,115.0,108.0
2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011467,SÖZ,Turkish,0,7,7.0,,,,İSTANBUL,Marmara,---,---,---,647.847,132.485,943.245,1.262.839,,,,"%100,0",38.0,,"%18,4","%34,2","%78,9","6,4",,"1,1","%85,7","%100,0","%100,0",,1,41.0,42.0,21.0,69.0
2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011467,SÖZ,Turkish,0,8,8.0,,,,İSTANBUL,Marmara,---,---,---,236.479,107.489,681.097,1.144.572,,,,"%100,0",127.0,,"%26,8","%54,3",102,"5,8",,"1,1","%87,5","%100,0","%100,0",,40,71.0,111.0,30.0,66.0
2021,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,Yeni Medya ve İletişim ,203011467,SÖZ,Turkish,0,4,4.0,,,,İSTANBUL,Marmara,---,---,---,280.372,175.229,752.113,960.061,,,"%50,0","%75,0",30.0,,"%23,3","%56,7","%90,0","4,6",,"2,8","%50,0","%75,0","%100,0",,3,50.0,53.0,11.0,43.0
2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,İletişim ve Tasarımı ,210402460,SÖZ,Turkish,50,33,33.0,,,,İSTANBUL,Marmara,---,---,---,589.408,151.444,1.148.217,1.703.899,,,"%12,1","%90,9",267.0,,"%9,4","%33,7","%79,4","6,3",,"3,2","%42,4","%69,7","%97,0",,23,243.0,266.0,48.0,63.0
2022,NİŞANTAŞI ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,İletişim ve Tasarımı ,204590553,SÖZ,Turkish,50,24,24.0,,,,İSTANBUL,Marmara,---,---,---,587.496,66.914,1.122.650,1.895.032,,,"%25,0","%83,3",369.0,,"%7,9","%22,5",244,"8,9",,"3,9","%20,8","%58,3","%100,0",,49,222.0,271.0,50.0,42.0
2021,NİŞANTAŞI ÜNİVERSİTESİ,Sanat ve Tasarım Fakültesi,İletişim ve Tasarımı ,204590553,SÖZ,Turkish,50,19,8.0,,,,İSTANBUL,Marmara,---,---,---,562.725,151.759,1.027.740,1.477.083,,,"%37,5","%62,5",58.0,,"%5,2","%31,0","%65,5","7,6",,"2,1","%37,5","%75,0","%100,0",,10,58.0,70.0,18.0,15.0
2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Yeni Medya ve İletişim,210402103,SÖZ,English,50,51,51.0,,,,İSTANBUL,Marmara,---,---,---,349.275,84.233,861.221,1.543.154,,,"%21,6","%88,2",241.0,,"%21,2","%46,5","%80,5","5,7",,"1,8","%66,7","%86,3","%100,0",,83,379.0,462.0,169.0,123.0
