academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,202110744,SAY,İngilizce,50,35,35,,,,ANKARA,İç Anadolu,---,---,---,3.063,458,4.821,26.16,,,"% 48,6","% 57,1",401,,"% 13,5","% 38,2","% 89,8","5,1",,"3,8","% 5,7","% 62,9","% 97,1",,173,163,336,130,162
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Havacılık ve Uzay Bilimleri Fakültesi,Pilotaj,204811077,SAY,İngilizce,100,7,7,,,,İSTANBUL,Marmara,---,2,1,3.064,227,3.802,9.243,,,"% 88,9","% 11,1",600,,"% 40,0","% 62,8","% 85,3","4,6",,"1,6","% 66,7","% 88,9","% 100,0",,68,51,121,18,23
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,206110759,SAY,İngilizce,100,11,11,,,,İSTANBUL ,,77,23,36,3.113,205,3.612,8.575,,,"% 100,0",,241,,"% 10,0","% 30,7","% 79,7","6,4",,"2,5","% 46,2","% 76,9","% 100,0",,74,28,102,95,68
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Endüstri Mühendisliği,205410159,SAY,,100,10,10,,,,ANKARA ,,2,4,4,3.787,1.754,6.181,22.859,,,"% 92,3",,438,,"% 6,8","% 25,8","% 71,0","7,2",,"5,2","% 7,7","% 30,8","% 92,3",,77,55,132,45,60
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Yüksekokulu,Pilotaj,200590143,SAY,İngilizce,100,4,4,,,,İSTANBUL ,,---,1,2,2.919,1.811,,,,,"% 83,3",,419,,"% 6,2","% 49,4","% 83,1","5,9",,"2,7","% 16,7","% 100,0","% 100,0",,38,26,67,11,25
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,204810113,SAY,İngilizce,100,9,9,,,,İSTANBUL,Marmara,4,2,4,4.099,2.368,7.68,25.608,,,"% 91,7","% 33,3",226,,"% 4,9","% 19,0","% 60,6","8,7",,"6,0","% 0,0","% 16,7","% 83,3",,90,54,144,35,46
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Fakültesi,Bilişim Sistemleri ve Teknolojileri,202190193,SAY,İngilizce,100,12,12,,,,ANKARA,İç Anadolu,---,---,3,4.122,1.105,10.182,23.592,,,"% 73,3","% 40,0",272,,"% 17,6","% 31,3","% 71,7","7,1",,"2,9","% 40,0","% 73,3","% 100,0",,84,52,136,12,40
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Matematik,202110108,SAY,İngilizce,100,19,19,,,,ANKARA,İç Anadolu,8,3,6,4.27,421,7.146,24.798,,,"% 85,7","% 19,0",301,,"% 12,3","% 33,9","% 73,4","7,0",,"2,1","% 47,6","% 85,7","% 100,0",,95,50,145,38,104
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Yapay Zeka ve Veri Mühendisliği,204890125,SAY,İngilizce,100,4,4,,,,İSTANBUL,Marmara,---,---,---,4.737,3.793,6.394,13.464,,,"% 83,3","% 16,7",2.128,,"% 14,9","% 43,2","% 83,8","5,5",,"5,2","% 0,0","% 16,7","% 100,0",,39,21,60,10,
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,205410177,SAY,,100,10,10,,,,ANKARA ,,7,2,3,4.84,3.093,8.288,30.037,,,"% 58,3",,352,,"% 5,1","% 23,6","% 64,5","8,2",,"5,6","% 0,0","% 16,7","% 91,7",,72,39,111,39,58
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Diş Hekimliği Fakültesi,Diş Hekimliği,206110026,SAY,İngilizce,100,9,9,,,,İSTANBUL ,,20,7,16,5.793,488,6.014,20.124,,,"% 70,0",,274,,"% 43,4","% 53,6","% 77,7","5,3",,"1,5","% 80,0","% 90,0","% 100,0",,38,16,54,27,46
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,206110592,SAY,İngilizce,100,14,14,,,,İSTANBUL ,,4,2,2,5.946,4.167,11.758,30.572,,,"% 94,1",,309,,"% 5,5","% 19,1","% 58,9","8,7",,"4,5","% 17,6","% 52,9","% 94,1",,150,74,224,130,76
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,200611488,SAY,,100,13,13,,,,ANKARA ,,229,82,76,6.128,4.234,6.565,18.084,,,"% 50,0",,746,,"% 7,6","% 24,9","% 81,0","6,7",,"4,9","% 18,8","% 50,0","% 93,8",,109,37,146,138,65
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Endüstri Mühendisliği,204810043,SAY,İngilizce,100,14,14,,,,İSTANBUL,Marmara,6,3,3,6.205,2.306,7.559,16.317,,,"% 70,6","% 41,2",346,,"% 5,8","% 21,4","% 67,6","8,0",,"4,3","% 5,9","% 35,3","% 100,0",,163,63,226,77,76
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,200511241,SAY,İngilizce,100,10,10,,,,İSTANBUL,Marmara,54,24,65,6.228,1.894,9.172,37.242,,,"% 63,6","% 45,5",266,,"% 7,1","% 22,2","% 72,9","7,5",,"3,9","% 36,4","% 72,7","% 90,9",,91,40,131,109,59
2024,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,200910027,SAY,,100,16,16,,,,İSTANBUL ,,71,28,31,6.545,5.272,10.564,26.527,,,"% 11,8",,530,,"% 5,8","% 23,4","% 78,7","6,9",,"4,2","% 5,9","% 29,4","% 100,0",,133,43,176,135,104
2024,KTO KARATAY ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Yüksekokulu,Pilotaj,204090110,SAY,,100,5,5,,,,KONYA ,,---,1,2,3.752,2.519,,,,,"% 100,0",,336,,"% 8,0","% 29,2","% 84,5","6,1",,"4,9","% 0,0","% 28,6","% 100,0",,68,39,107,11,20
2024,ATILIM ÜNİVERSİTESİ,vak�f,Sivil Havacılık Yüksekokulu,Pilotaj,200211465,SAY,İngilizce,100,3,3,,,,ANKARA ,,1,---,3,6.809,5.371,,,,,"% 40,0",,318,,"% 7,9","% 27,7","% 83,3","6,7",,"2,4","% 20,0","% 80,0","% 100,0",,39,17,58,6,14
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,200690358,SAY,İngilizce,100,9,9,,,,ANKARA ,,229,82,76,6.727,4.7,7.268,13.605,,,"% 45,5",,451,,"% 3,1","% 18,4","% 72,3","7,7",,"6,5","% 9,1","% 27,3","% 90,9",,105,51,156,136,35
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,203910838,SAY,İngilizce,50,4,4,,,,İSTANBUL ,,---,---,---,7.572,2.663,10.54,20.306,,,"% 25,0",,125,,"% 11,2","% 40,0","% 78,4","6,3",,"4,2","% 0,0","% 50,0","% 100,0",,10,28,38,14,66
