academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,BURSA ULUDAĞ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Türkçe Öğretmenliği,109710109,SÖZ,,,50,50,,,,BURSA,Marmara,7,4,2,20.37,2.167,431.577,782.508,,,"% 46,2","% 78,8",1.163,,"% 11,1","% 28,3","% 67,5","7,9",,"3,3","% 44,2","% 69,2","% 98,1",,501,6,507,236,325
2024,İSTANBUL ÜNİVERSİTESİ,devlet,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",105610625,SÖZ,,,95,95,,,,İSTANBUL,Marmara,10,7,11,20.382,4.922,364.208,856.068,,,"% 42,9","% 71,4",1.43,,"% 14,7","% 44,8","% 78,5","6,3",,"3,7","% 29,6","% 68,4","% 94,9",,746,200,946,281,643
2024,ORDU ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,108310267,SÖZ,,,50,50,,,,ORDU,Karadeniz,---,1,4,20.483,9.214,516.42,996.176,,,"% 80,8","% 65,4",1.271,,"% 4,5","% 17,6","% 49,5","10,3",,"10,0","% 5,8","% 21,2","% 57,7",,885,6,892,538,275
2024,DOKUZ EYLÜL ÜNİVERSİTESİ,devlet,Turizm Fakültesi,Gastronomi ve Mutfak Sanatları,103190635,SÖZ,,,60,60,,,,İZMİR,Ege,1,---,3,20.691,4.74,445.528,853.239,,,"% 80,6","% 24,2",2.136,,"% 17,2","% 49,3","% 81,4","5,7",,"4,7","% 27,4","% 66,1","% 88,7",,686,73,766,381,382
2024,MARMARA ÜNİVERSİTESİ,devlet,İlahiyat Fakültesi,İlahiyat,107290434,SÖZ,M.T.O.K.,,22,22,,,,İSTANBUL ,,68,25,25,20.746,8.907,497.74,929.778,,,"% 77,3",,767,,"% 22,8","% 60,4","% 89,6","4,2",,"2,8","% 18,2","% 68,2","% 100,0",,222,12,234,97,26
2024,AFYON KOCATEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,100410015,SÖZ,,,50,50,,,,AFYONKARAHİSAR ,,---,3,3,20.899,4.487,457.36,954.125,,,"% 78,8",,1.554,,"% 5,7","% 15,9","% 47,9","10,4",,"8,6","% 11,5","% 28,8","% 63,5",,834,1,835,469,312
2024,DOKUZ EYLÜL ÜNİVERSİTESİ,devlet,Buca Eğitim Fakültesi,Türkçe Öğretmenliği,103110196,SÖZ,,,50,50,,,,İZMİR,Ege,2,3,2,21.216,12.506,463.82,808.81,,,"% 63,5","% 48,1",1.053,,"% 5,5","% 25,5","% 65,5","8,3",,"4,6","% 11,5","% 65,4","% 88,5",,675,7,682,406,356
2024,EGE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,Tarih,103410121,SÖZ,,,30,30,,,,İZMİR,Ege,11,2,4,21.268,1.281,443.327,784.727,,,"% 61,3","% 54,8",1.17,,"% 16,4","% 33,8","% 71,5","7,2",,"4,4","% 25,8","% 48,4","% 96,8",,242,4,247,182,421
2024,AKDENİZ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Türkçe Öğretmenliği,100710463,SÖZ,,,50,50,,,,ANTALYA ,,3,4,6,21.287,2.197,467.368,907.533,,,"% 61,5",,825,,"% 10,4","% 28,0","% 64,1","8,3",,"5,5","% 30,8","% 57,7","% 78,8",,688,3,691,365,255
2024,TRAKYA ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,109410042,SÖZ,,,50,50,,,,EDİRNE,Marmara,3,2,4,21.368,10.816,506.899,884.538,,,"% 80,8","% 48,1",697,,"% 7,3","% 17,9","% 48,4","10,7",,"9,6","% 11,5","% 19,2","% 59,6",,886,19,905,612,309
2024,MARMARA ÜNİVERSİTESİ,devlet,İnsan ve Toplum Bilimleri Fakültesi,Türk Dili ve Edebiyatı,107210323,SÖZ,,,30,30,,,,İSTANBUL ,,16,3,2,21.587,6.346,429.435,739.615,,,"% 32,3",,1.125,,"% 7,5","% 27,3","% 70,6","7,5",,"3,7","% 0,0","% 64,5","% 96,8",,243,21,264,138,177
2024,İSTANBUL ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,Sanat Tarihi,105610273,SÖZ,,,30,30,,,,İSTANBUL,Marmara,5,5,7,21.632,2.713,401.637,963.132,,,"% 16,1","% 87,1",977,,"% 10,1","% 37,4","% 74,1","6,9",,"3,1","% 32,3","% 71,0","% 100,0",,169,5,174,61,467
2024,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,103210044,SÖZ,,,50,50,,,,KÜTAHYA,Ege,---,2,4,21.659,12.456,500.751,1.021.587,,,"% 86,5","% 28,8",1.338,,"% 3,3","% 12,4","% 43,4","11,3",,"10,0","% 9,6","% 13,5","% 59,6",,939,---,939,657,349
