,EGE ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,6458,4095,10553,16726,16113,32839,1893,2692,4585,1265,1738,3003,26342,24638,50980,
,ERCİYES ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,750,1483,2233,15004,14356,29360,3053,2886,5939,1227,991,2218,20034,19716,39750,
,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,ERZİNCAN,BİRİNCİ Ö.,4749,3515,8264,5026,6205,11231,472,525,997,118,82,200,10365,10327,20692,
,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,ERZURUM,BİRİNCİ Ö.,0,0,0,1473,1288,2761,234,211,445,63,37,100,1770,1536,3306,
,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,1443,1236,2679,9457,8448,17905,1199,1229,2428,470,404,874,12569,11317,23886,
,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,2272,673,2945,5264,3865,9129,802,647,1449,353,263,616,8691,5448,14139,
,FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU,VAKIF MYO,BURSA,BİRİNCİ Ö.,176,338,514,0,0,0,0,0,0,0,0,0,176,338,514,
,FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU (İSTANBUL),VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,83,239,322,0,0,0,0,0,0,0,0,0,83,239,322,
,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,217,437,654,2193,2973,5166,307,479,786,124,127,251,2841,4016,6857,
,FENERBAHÇE ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,154,293,447,765,594,1359,0,0,0,0,0,0,919,887,1806,
,FIRAT ÜNİVERSİTESİ,DEVLET,ELAZIĞ,BİRİNCİ Ö.,3755,2624,6379,11461,9376,20837,1395,1220,2615,592,389,981,17203,13609,30812,
,GALATASARAY ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,1325,1270,2595,257,202,459,182,185,367,1764,1657,3421,
,GAZİ ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,1908,1355,3263,13388,14042,27430,2613,3145,5758,1687,1919,3606,19596,20461,40057,
,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,GAZİANTEP,BİRİNCİ Ö.,35,120,155,237,373,610,24,7,31,0,0,0,296,500,796,
,GAZİANTEP ÜNİVERSİTESİ,DEVLET,GAZİANTEP,BİRİNCİ Ö.,6003,5224,11227,10302,10637,20939,1657,1437,3094,455,305,760,18417,17603,36020,
,GEBZE TEKNİK ÜNİVERSİTESİ,DEVLET,KOCAELİ,BİRİNCİ Ö.,0,0,0,3151,2267,5418,996,750,1746,388,358,746,4535,3375,7910,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,GİRESUN ÜNİVERSİTESİ,DEVLET,GİRESUN,BİRİNCİ Ö.,3846,4134,7980,5131,5878,11009,709,735,1444,85,96,181,9771,10843,20614,
,GÜMÜŞHANE ÜNİVERSİTESİ,DEVLET,GÜMÜŞHANE,BİRİNCİ Ö.,2484,2627,5111,3245,3775,7020,860,508,1368,80,42,122,6669,6952,13621,
,HACETTEPE ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,2357,2307,4664,16131,20873,37004,1769,2501,4270,1812,2480,4292,22069,28161,50230,
,HAKKARİ ÜNİVERSİTESİ,DEVLET,HAKKARİ,BİRİNCİ Ö.,707,630,1337,590,653,1243,72,33,105,0,0,0,1369,1316,2685,
,HALİÇ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,829,901,1730,4549,4957,9506,438,630,1068,56,53,109,5872,6541,12413,
,HARRAN ÜNİVERSİTESİ,DEVLET,ŞANLIURFA,BİRİNCİ Ö.,4173,3798,7971,6638,6554,13192,981,640,1621,267,135,402,12059,11127,23186,
,HASAN KALYONCU ÜNİVERSİTESİ,VAKIF,GAZİANTEP,BİRİNCİ Ö.,207,419,626,2346,2977,5323,374,456,830,141,147,288,3068,3999,7067,
,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,HATAY,BİRİNCİ Ö.,4216,3602,7818,6654,6693,13347,465,420,885,146,114,260,11481,10829,22310,
,HİTİT ÜNİVERSİTESİ,DEVLET,ÇORUM,BİRİNCİ Ö.,2980,2493,5473,3663,3569,7232,641,597,1238,123,83,206,7407,6742,14149,
,IĞDIR ÜNİVERSİTESİ,DEVLET,IĞDIR,BİRİNCİ Ö.,1631,1689,3320,1928,1743,3671,821,412,1233,55,14,69,4435,3858,8293,
,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,ISPARTA,BİRİNCİ Ö.,8415,5741,14156,2565,890,3455,452,229,681,144,76,220,11576,6936,18512,
,IŞIK ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,372,551,923,3132,2050,5182,341,316,657,47,46,93,3892,2963,6855,
,İBN HALDUN ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,0,0,0,336,371,707,326,294,620,87,64,151,749,729,1478,
,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,0,0,0,5695,4960,10655,408,405,813,230,208,438,6333,5573,11906,
,İNÖNÜ ÜNİVERSİTESİ,DEVLET,MALATYA,BİRİNCİ Ö.,2112,1876,3988,9257,10797,20054,1281,1186,2467,736,513,1249,13386,14372,27758,
,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,HATAY,BİRİNCİ Ö.,2360,960,3320,3599,1417,5016,674,328,1002,80,37,117,6713,2742,9455,
,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,2046,1694,3740,2380,2355,4735,798,803,1601,119,123,242,5343,4975,10318,
,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,103,222,325,149,403,552,11,16,27,0,0,0,263,641,904,
,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,5059,4646,9705,9320,8451,17771,1840,2076,3916,186,161,347,16405,15334,31739,
,İSTANBUL AYVANSARAY ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1579,1805,3384,798,756,1554,299,261,560,1,1,2,2677,2823,5500,
,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1286,1589,2875,8510,7381,15891,419,917,1336,47,68,115,10262,9955,20217,
,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1039,826,1865,1860,1649,3509,109,88,197,0,0,0,3008,2563,5571,
,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,72,153,225,224,233,457,0,0,0,0,0,0,296,386,682,
