BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,23.04.2015,,DEVLET,BALIKESİR,MARMARA
BARTIN ÜNİVERSİTESİ,22.05.2008,,DEVLET,BARTIN,KARADENİZ
BAŞKENT ÜNİVERSİTESİ,15.01.1994,,VAKIF,ANKARA,İÇ ANADOLU
BATMAN ÜNİVERSİTESİ,29.05.2007,,DEVLET,BATMAN,GÜNEYDOĞU ANADOLU
BAYBURT ÜNİVERSİTESİ,22.05.2008,,DEVLET,BAYBURT,KARADENİZ
BEYKOZ ÜNİVERSİTESİ,07.09.2016,,VAKIF,İSTANBUL,MARMARA
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,29.05.2007,,DEVLET,BİLECİK,MARMARA
BİNGÖL ÜNİVERSİTESİ,29.05.2007,,DEVLET,BİNGÖL,DOĞU ANADOLU
BİRUNİ ÜNİVERSİTESİ,27.02.2014,,VAKIF,İSTANBUL,MARMARA
,,,,,
BİTLİS EREN ÜNİVERSİTESİ,29.05.2007,,DEVLET,BİTLİS,DOĞU ANADOLU
BOĞAZİÇİ ÜNİVERSİTESİ,12.09.1971,,DEVLET,İSTANBUL,MARMARA
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,11.07.1992,,DEVLET,BOLU,KARADENİZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,17.03.2006,,DEVLET,BURDUR,AKDENİZ
